epoch,accuracy,loss,val_accuracy,val_loss
26,0.7986995577812195,0.5419574975967407,0.7320278882980347,0.7397142648696899
27,0.8065424561500549,0.5200995802879333,0.7156652212142944,0.7821311950683594
28,0.8080171346664429,0.5163370966911316,0.7357832789421082,0.7282463312149048
29,0.8129105567932129,0.5074599981307983,0.7290772795677185,0.7581056952476501
30,0.8176028728485107,0.49476999044418335,0.7408798336982727,0.7271508574485779
31,0.823032557964325,0.4877137839794159,0.7395386099815369,0.7429145574569702
32,0.8180050849914551,0.4902151823043823,0.7419527769088745,0.7255309224128723
33,0.812106192111969,0.5096193552017212,0.7317596673965454,0.7502657771110535
34,0.8263842463493347,0.4760622978210449,0.7314913868904114,0.7616485953330994
35,0.832484245300293,0.4610643982887268,0.7371244430541992,0.7424743175506592
36,0.8317468762397766,0.4554734528064728,0.7379291653633118,0.741422176361084
37,0.8339589834213257,0.44869592785835266,0.7328326106071472,0.7969289422035217
38,0.8365062475204468,0.436747282743454,0.7178111672401428,0.8176019787788391
39,0.8346292972564697,0.4485573470592499,0.7403433322906494,0.7311142086982727
40,0.8457568287849426,0.4198232591152191,0.7478540539741516,0.7192831039428711
41,0.8491084575653076,0.4162508547306061,0.7438304424285889,0.751671314239502
42,0.850516140460968,0.40626123547554016,0.7443669438362122,0.7170122265815735
43,0.8434776663780212,0.4227936565876007,0.7266631126403809,0.8130102157592773
44,0.8479688763618469,0.41704413294792175,0.7363197207450867,0.7486376166343689
45,0.8558117747306824,0.3969036042690277,0.7486587762832642,0.7309741377830505
46,0.829132616519928,0.4706069231033325,0.7226395010948181,0.8106185793876648
47,0.8446172475814819,0.4223615825176239,0.7449034452438354,0.7465062141418457
48,0.858090877532959,0.3886289596557617,0.7427574992179871,0.7390601634979248
49,0.8552755117416382,0.3942159414291382,0.741416335105896,0.7822285294532776
50,0.8567502498626709,0.39049428701400757,0.7494634985923767,0.7377729415893555
51,0.8641238808631897,0.3735634684562683,0.7510729432106018,0.7235227227210999
52,0.8666711449623108,0.366681843996048,0.7486587762832642,0.7605102062225342
53,0.8632524609565735,0.3756870627403259,0.758583664894104,0.7497813105583191
54,0.8580238819122314,0.38058722019195557,0.7459763884544373,0.7657346725463867
55,0.8604370355606079,0.3812327980995178,0.7427574992179871,0.7623052000999451
56,0.8618447780609131,0.37222397327423096,0.7424892783164978,0.7372329235076904
57,0.8686150908470154,0.35852208733558655,0.7489270567893982,0.7555619478225708
58,0.8639227747917175,0.3739030063152313,0.7502682209014893,0.7223554253578186
59,0.8691513538360596,0.36262205243110657,0.7486587762832642,0.7697588801383972
60,0.8657997250556946,0.36565738916397095,0.7188841104507446,0.9199156165122986
61,0.8686150908470154,0.36266061663627625,0.7553648352622986,0.7418666481971741
62,0.8737096190452576,0.34938475489616394,0.7446351647377014,0.7970361709594727
63,0.8678107261657715,0.3618677258491516,0.7532188892364502,0.7578464150428772
64,0.8704249858856201,0.3472336232662201,0.758583664894104,0.7479323148727417
65,0.8784689903259277,0.33336150646209717,0.7510729432106018,0.7364477515220642
66,0.876659095287323,0.3516269028186798,0.7567059993743896,0.7649849653244019
67,0.8822228312492371,0.32970938086509705,0.7486587762832642,0.7583034038543701
68,0.8747150897979736,0.33984068036079407,0.7502682209014893,0.750821590423584
69,0.8753184080123901,0.33754950761795044,0.7510729432106018,0.7413530349731445
70,0.8775305151939392,0.3332269787788391,0.7575107216835022,0.7436190247535706
71,0.8759887218475342,0.33816996216773987,0.745708167552948,0.7568106651306152
72,0.8755865693092346,0.33888018131256104,0.7481223344802856,0.7404386401176453
73,0.8802788853645325,0.32693469524383545,0.7575107216835022,0.7314184904098511
74,0.8782008290290833,0.3383692502975464,0.7494634985923767,0.7552614212036133
75,0.8794074058532715,0.3306342661380768,0.7537553906440735,0.72483229637146
76,0.8802788853645325,0.3247283697128296,0.758583664894104,0.7316780090332031
77,0.8817535638809204,0.3310517370700836,0.7465128898620605,0.7812869548797607
78,0.8878536224365234,0.3169543445110321,0.7526823878288269,0.7377023696899414
79,0.8865129351615906,0.3085963726043701,0.7491952776908875,0.7842372059822083
80,0.887585461139679,0.31674957275390625,0.7529506683349609,0.753585934638977
81,0.8918755650520325,0.29658034443855286,0.7526823878288269,0.7542373538017273
82,0.8815524578094482,0.32280775904655457,0.754291832447052,0.7551637291908264
83,0.8893283009529114,0.3060493767261505,0.7508047223091125,0.7552762031555176
84,0.892814040184021,0.2942392826080322,0.7526823878288269,0.7597571015357971
85,0.8863788843154907,0.30837562680244446,0.7540236115455627,0.7815061807632446
86,0.8906019330024719,0.3032205104827881,0.7526823878288269,0.7547830939292908
87,0.897372305393219,0.2884514629840851,0.758851945400238,0.7534916400909424
88,0.887585461139679,0.3033766448497772,0.7381974458694458,0.7813606262207031
89,0.8919426202774048,0.3019255995750427,0.7559012770652771,0.7408149838447571
90,0.8863788843154907,0.31367531418800354,0.7572425007820129,0.7442841529846191
91,0.892814040184021,0.2995266914367676,0.7572425007820129,0.7596560716629028
92,0.8915404081344604,0.297702819108963,0.758851945400238,0.7327784299850464
93,0.8913393020629883,0.3023950755596161,0.7620708346366882,0.7352222204208374
94,0.8878536224365234,0.2975212335586548,0.7591201663017273,0.750606894493103
95,0.8944228291511536,0.29388782382011414,0.7524141669273376,0.7541574835777283
96,0.8936854600906372,0.29462435841560364,0.7529506683349609,0.7482173442840576
97,0.8954283595085144,0.2925170660018921,0.7593883872032166,0.7633636593818665
98,0.8981096744537354,0.2858124077320099,0.7508047223091125,0.7545769214630127
99,0.8892613053321838,0.3073320984840393,0.7564377784729004,0.7466485500335693
